n features,dimensions,c,iterations
100,2,0.2,15
100,2,0.2,5
100,2,0.2,8
100,2,0.2,12
100,2,0.2,35
100,2,0.2,276
100,2,0.2,2
100,2,0.2,2
100,2,0.2,45
100,2,0.2,138
100,2,0.2,117
100,2,0.2,20
100,2,0.2,8
100,2,0.2,12
100,2,0.2,53
100,2,0.2,27
100,2,0.2,92
100,2,0.2,837
100,2,0.2,44
100,2,0.2,119
100,2,0.2,68
100,2,0.2,2378
100,2,0.2,20
100,2,0.2,902
100,2,0.2,2079
100,2,0.2,101
100,2,0.2,167
100,2,0.2,40
100,2,0.2,4
100,2,0.2,238
100,2,0.2,93
100,2,0.2,11
100,2,0.2,42
100,2,0.2,2
100,2,0.2,4
100,2,0.2,4
100,2,0.2,297
100,2,0.2,250
100,2,0.2,26
100,2,0.2,23
100,2,0.2,6
100,2,0.2,201
100,2,0.2,4
100,2,0.2,22
100,2,0.2,116
100,2,0.2,3
100,2,0.2,26
100,2,0.2,1640
100,2,0.2,10
100,2,0.2,4
100,2,0.2,193
100,2,0.2,8
100,2,0.2,9
100,2,0.2,4
100,2,0.2,31
100,2,0.2,24
100,2,0.2,8
100,2,0.2,1489
100,2,0.2,5
100,2,0.2,1008
100,2,0.2,60
100,2,0.2,2
100,2,0.2,116
100,2,0.2,6
100,2,0.2,128
100,2,0.2,12
100,2,0.2,54
100,2,0.2,7
100,2,0.2,4
100,2,0.2,12
100,2,0.2,4
100,2,0.2,2
100,2,0.2,9
100,2,0.2,301
100,2,0.2,11
100,2,0.2,653
100,2,0.2,286
100,2,0.2,43
100,2,0.2,357
100,2,0.2,29
100,2,0.2,32
100,2,0.2,117
100,2,0.2,291
100,2,0.2,2277
100,2,0.2,36
100,2,0.2,1884
100,2,0.2,321
100,2,0.2,30
100,2,0.2,3
100,2,0.2,8
100,2,0.2,36
100,2,0.2,4
100,2,0.2,11
100,2,0.2,41
100,2,0.2,12
100,2,0.2,929
100,2,0.2,503
100,2,0.2,33
100,2,0.2,1581
100,2,0.2,22
100,2,0.2,4
100,2,0.2,77
100,2,0.2,3
100,2,0.2,70
100,2,0.2,25
100,2,0.2,24
100,2,0.2,10
100,2,0.2,17
100,2,0.2,36
100,2,0.2,15
100,2,0.2,10
100,2,0.2,31
100,2,0.2,199
100,2,0.2,1127
100,2,0.2,52
